THEME_ID	TITLE_FRENCH	WORDING_FRENCH	TITLE_GERMAN	WORDING_GERMAN	TITLE_ENGLISH	WORDING_ENGLISH	TITLE_DUTCH	WORDING_DUTCH	TITLE_PERSIAN	WORDING_PERSIAN	IMAGE_ID	LEVEL
2	Université	À l’université	Universität	An der Universität	University	At university	Universiteit	Op de universiteit	دانشگاه	در دانشگاه	no	A1
3	Vêtements	Au magasin de vêtements	Kleider	In dem Kleider Laden	Clothes	At the clothes shop	Kleding	In de kleding winkel	لباس	لباسفروشی	no	A1
1	Présentation	Se présenter	Vorstellung	Sich vorstellen	Presentation	Presenting oneself	Voorstellen	Zich voorstellen	آشنایی	خود را آشنایی دهید	no	A1
4	Cuisine	Dans la cuisine	Küche	In die Küche	Kitchen	In the kitchen	Keuken	In de keuken	آشپزخانه	در دانشگاه	no	A1
